t:;0;1;2;3;4;5;6;7;8;9; 
x:;0;0,598047612756302;1,0980952255126;1,50014283826891;1,80419045102521;2,01023806378151;2,11828567653781;2,12833328929411;2,04038090205041;1,85442851480672; 
y:;0;0,598047612756302;1,0980952255126;1,50014283826891;1,80419045102521;2,01023806378151;2,11828567653781;2,12833328929411;2,04038090205041;1,85442851480672;
